Day,Date,Time,PM2.5,PM10,NO2,NH3,SO2,CO,OZONE,AQI
Monday,01-08-2022,00:00:00,20,31,,,2,40,9,40
Monday,01-08-2022,01:00:00,20,30,,,3,37,9,40
Monday,01-08-2022,02:00:00,,,,,,,,41
Monday,01-08-2022,03:00:00,27,25,,,2,42,8,41
Monday,01-08-2022,04:00:00,20,20,,,1,36,4,41
Monday,01-08-2022,05:00:00,15,17,,,2,31,5,41
Monday,01-08-2022,06:00:00,21,29,,,4,42,7,41
Monday,01-08-2022,07:00:00,48,54,,,6,53,7,41
Monday,01-08-2022,08:00:00,48,74,,,5,54,8,42
Monday,01-08-2022,09:00:00,45,77,,,2,71,10,46
Monday,01-08-2022,10:00:00,48,92,,,1,75,9,50
Monday,01-08-2022,11:00:00,62,106,,,2,60,9,52
Monday,01-08-2022,12:00:00,53,78,,,6,54,8,53
Monday,01-08-2022,13:00:00,47,58,,,3,62,7,56
Monday,01-08-2022,14:00:00,47,56,,,3,62,10,59
Monday,01-08-2022,15:00:00,58,59,,,3,61,11,61
Monday,01-08-2022,16:00:00,51,50,,,4,57,10,62
Monday,01-08-2022,17:00:00,38,40,,,5,55,10,62
Monday,01-08-2022,18:00:00,34,35,,,4,52,9,60
Monday,01-08-2022,19:00:00,35,39,,,4,54,8,57
Monday,01-08-2022,20:00:00,38,34,,,5,55,8,57
Monday,01-08-2022,21:00:00,40,32,,,4,42,8,56
Monday,01-08-2022,22:00:00,38,35,,,4,50,5,54
Monday,01-08-2022,23:00:00,28,41,,,4,48,8,53
Tuesday,02-08-2022,00:00:00,34,36,,,4,46,9,51
Tuesday,02-08-2022,01:00:00,53,40,,,5,38,9,49
Tuesday,02-08-2022,02:00:00,31,32,,,5,39,10,48
Tuesday,02-08-2022,03:00:00,29,31,,,4,45,9,49
Tuesday,02-08-2022,04:00:00,42,36,,,7,35,8,49
Tuesday,02-08-2022,05:00:00,34,32,,,5,18,9,50
Tuesday,02-08-2022,06:00:00,28,44,,,4,25,18,50
Tuesday,02-08-2022,07:00:00,20,42,,,4,40,5,50
Tuesday,02-08-2022,08:00:00,,,,,,,,49
Tuesday,02-08-2022,09:00:00,,,,,,,,48
Tuesday,02-08-2022,10:00:00,69,98,,,4,50,9,48
Tuesday,02-08-2022,11:00:00,48,70,,,5,44,9,46
Tuesday,02-08-2022,12:00:00,36,44,,,8,45,9,45
Tuesday,02-08-2022,13:00:00,33,43,,,8,31,8,44
Tuesday,02-08-2022,14:00:00,47,50,,,9,26,9,44
Tuesday,02-08-2022,15:00:00,45,42,,,7,30,4,43
Tuesday,02-08-2022,16:00:00,43,44,,,8,27,8,43
Tuesday,02-08-2022,17:00:00,45,42,,,2,45,8,43
Tuesday,02-08-2022,18:00:00,42,44,,,1,47,9,43
Tuesday,02-08-2022,19:00:00,43,49,,,0,55,11,44
Tuesday,02-08-2022,20:00:00,37,55,,,0,64,9,45
Tuesday,02-08-2022,21:00:00,38,64,,,2,62,9,46
Tuesday,02-08-2022,22:00:00,45,80,,,3,66,8,48
Tuesday,02-08-2022,23:00:00,62,88,,,3,62,6,51
Wednesday,03-08-2022,00:00:00,68,100,,,3,62,6,54
Wednesday,03-08-2022,01:00:00,71,123,,,2,53,7,57
Wednesday,03-08-2022,02:00:00,53,77,,,3,48,7,59
Wednesday,03-08-2022,03:00:00,40,52,,,2,46,9,60
Wednesday,03-08-2022,04:00:00,48,51,,,3,45,6,61
Wednesday,03-08-2022,05:00:00,42,44,,,2,65,9,61
Wednesday,03-08-2022,06:00:00,50,73,,,2,73,8,62
Wednesday,03-08-2022,07:00:00,55,64,,,3,82,9,64
Wednesday,03-08-2022,08:00:00,62,54,,,3,95,4,63
Wednesday,03-08-2022,09:00:00,60,45,,,2,42,6,62
Wednesday,03-08-2022,10:00:00,12,16,,,,38,8,59
Wednesday,03-08-2022,11:00:00,12,18,,,,52,7,60
Wednesday,03-08-2022,12:00:00,,,,,4,42,10,59
Wednesday,03-08-2022,13:00:00,17,28,,,1,67,8,62
Wednesday,03-08-2022,14:00:00,32,41,,,1,90,9,65
Wednesday,03-08-2022,15:00:00,66,70,,,1,60,8,63
Wednesday,03-08-2022,16:00:00,29,41,,,3,56,6,60
Wednesday,03-08-2022,17:00:00,24,48,,,3,46,5,58
Wednesday,03-08-2022,18:00:00,20,57,,,3,46,7,58
Wednesday,03-08-2022,19:00:00,23,42,,,4,53,8,58
Wednesday,03-08-2022,20:00:00,22,56,,,3,75,9,59
Wednesday,03-08-2022,21:00:00,45,90,,,4,98,9,66
Wednesday,03-08-2022,22:00:00,72,92,,,4,108,10,70
Wednesday,03-08-2022,23:00:00,130,118,,,3,101,8,71
Thursday,04-08-2022,00:00:00,87,105,,,3,84,8,74
Thursday,04-08-2022,01:00:00,80,96,,,4,84,4,77
Thursday,04-08-2022,02:00:00,33,60,,,5,79,7,81
Thursday,04-08-2022,03:00:00,38,69,,,6,74,9,84
Thursday,04-08-2022,04:00:00,30,74,,,4,78,5,87
Thursday,04-08-2022,05:00:00,57,73,,,4,34,9,82
Thursday,04-08-2022,06:00:00,35,60,,,4,43,9,76
Thursday,04-08-2022,07:00:00,45,96,,,6,60,9,71
Thursday,04-08-2022,08:00:00,45,96,,,6,59,7,66
Thursday,04-08-2022,09:00:00,,,,,,,,66
Thursday,04-08-2022,10:00:00,82,139,,,5,,6,71
Thursday,04-08-2022,11:00:00,,,,,,,,74
Thursday,04-08-2022,12:00:00,78,156,,,9,105,8,78
Thursday,04-08-2022,13:00:00,82,205,,,5,103,8,86
Thursday,04-08-2022,14:00:00,83,204,,,4,92,9,93
Thursday,04-08-2022,15:00:00,75,164,,,4,58,9,97
Thursday,04-08-2022,16:00:00,68,104,,,4,64,8,100
Thursday,04-08-2022,17:00:00,72,85,,,2,60,10,102
Thursday,04-08-2022,18:00:00,60,66,,,2,65,5,102
Thursday,04-08-2022,19:00:00,35,49,,,1,86,7,103
Thursday,04-08-2022,20:00:00,41,82,,,2,96,8,104
Thursday,04-08-2022,21:00:00,45,97,,,2,92,8,104
Thursday,04-08-2022,22:00:00,66,91,,,1,96,9,104
Thursday,04-08-2022,23:00:00,75,101,,,2,74,8,103
Friday,05-08-2022,00:00:00,28,55,,,1,57,8,101
Friday,05-08-2022,01:00:00,10,35,,,4,41,8,98
Friday,05-08-2022,02:00:00,25,22,,,2,40,9,96
Friday,05-08-2022,03:00:00,17,36,,,3,47,4,95
Friday,05-08-2022,04:00:00,16,38,,,2,41,7,93
Friday,05-08-2022,05:00:00,17,29,,,5,40,7,91
Friday,05-08-2022,06:00:00,14,32,,,4,45,9,90
Friday,05-08-2022,07:00:00,13,33,,,6,48,9,87
Friday,05-08-2022,08:00:00,32,45,,,6,56,10,85
Friday,05-08-2022,09:00:00,33,65,,,5,84,21,84
Friday,05-08-2022,10:00:00,23,82,,,5,,29,82
Friday,05-08-2022,11:00:00,23,82,,,5,76,19,82
Friday,05-08-2022,12:00:00,32,96,,,7,70,7,79
Friday,05-08-2022,13:00:00,29,103,,,3,71,6,75
Friday,05-08-2022,14:00:00,32,105,,,1,64,7,71
Friday,05-08-2022,15:00:00,22,95,,,1,74,17,68
Friday,05-08-2022,16:00:00,27,108,30,4,1,72,12,71
Friday,05-08-2022,17:00:00,25,93,35,3,1,87,9,75
Friday,05-08-2022,18:00:00,25,91,36,1,1,93,7,76
Friday,05-08-2022,19:00:00,41,109,41,,1,103,4,79
Friday,05-08-2022,20:00:00,43,111,34,,0,103,3,82
Friday,05-08-2022,21:00:00,23,75,36,,4,68,6,82
Friday,05-08-2022,22:00:00,30,73,42,,6,86,8,83
Friday,05-08-2022,23:00:00,50,80,40,,5,66,10,84
Saturday,06-08-2022,00:00:00,27,51,36,,5,54,9,81
Saturday,06-08-2022,01:00:00,22,40,24,,5,67,9,81
Saturday,06-08-2022,02:00:00,26,32,20,,4,64,11,78
Saturday,06-08-2022,03:00:00,23,28,15,,4,62,14,75
Saturday,06-08-2022,04:00:00,12,21,12,,4,56,,70
Saturday,06-08-2022,05:00:00,10,22,12,,3,34,5,70
Saturday,06-08-2022,06:00:00,6,26,13,,3,32,8,69
Saturday,06-08-2022,07:00:00,11,34,18,,3,45,7,69
Saturday,06-08-2022,08:00:00,18,58,20,,2,52,21,70
Saturday,06-08-2022,09:00:00,32,59,21,,3,70,7,70
Saturday,06-08-2022,10:00:00,39,83,30,,6,77,7,70
Saturday,06-08-2022,11:00:00,31,95,31,,5,68,7,70
Saturday,06-08-2022,12:00:00,8,94,34,,8,65,7,70
Saturday,06-08-2022,13:00:00,19,86,33,,5,43,6,70
Saturday,06-08-2022,14:00:00,29,101,33,,2,45,9,69
Saturday,06-08-2022,15:00:00,35,88,31,,4,48,6,69
Saturday,06-08-2022,16:00:00,32,81,34,,4,52,8,68
Saturday,06-08-2022,17:00:00,30,74,33,,4,75,27,67
Saturday,06-08-2022,18:00:00,27,79,33,,5,81,8,67
Saturday,06-08-2022,19:00:00,23,94,32,,4,81,7,66
Saturday,06-08-2022,20:00:00,24,86,34,,6,92,8,65
Saturday,06-08-2022,21:00:00,30,67,32,,5,92,7,68
Saturday,06-08-2022,22:00:00,31,60,33,,5,95,6,73
Saturday,06-08-2022,23:00:00,27,57,30,,5,85,7,78
Sunday,07-08-2022,00:00:00,24,54,25,,5,67,8,80
Sunday,07-08-2022,01:00:00,31,53,29,,4,65,8,81
Sunday,07-08-2022,02:00:00,26,46,20,,4,59,14,80
Sunday,07-08-2022,03:00:00,18,29,14,,3,58,12,77
Sunday,07-08-2022,04:00:00,13,27,12,,3,57,8,74
Sunday,07-08-2022,05:00:00,11,28,11,,4,66,6,72
Sunday,07-08-2022,06:00:00,12,38,14,,4,74,4,70
Sunday,07-08-2022,07:00:00,17,42,16,,5,75,8,67
Sunday,07-08-2022,08:00:00,28,47,20,,4,76,8,66
Sunday,07-08-2022,09:00:00,13,46,21,,4,62,8,66
Sunday,07-08-2022,10:00:00,13,50,23,,5,76,21,67
Sunday,07-08-2022,11:00:00,22,54,22,,4,78,15,69
Sunday,07-08-2022,12:00:00,22,57,22,,8,78,5,71
Sunday,07-08-2022,13:00:00,16,46,21,,2,76,7,73
Sunday,07-08-2022,14:00:00,15,54,23,,,65,9,73
Sunday,07-08-2022,15:00:00,17,47,23,,,68,8,73
Sunday,07-08-2022,16:00:00,16,38,19,,,66,7,72
Sunday,07-08-2022,17:00:00,17,43,22,,4,64,7,70
Sunday,07-08-2022,18:00:00,26,50,24,,6,71,11,71
Sunday,07-08-2022,19:00:00,22,48,30,,6,79,21,72
Sunday,07-08-2022,20:00:00,30,49,26,,5,83,9,72
Sunday,07-08-2022,21:00:00,16,47,26,,3,74,7,72
Sunday,07-08-2022,22:00:00,16,46,25,,2,66,6,71
Sunday,07-08-2022,23:00:00,23,52,20,,1,63,4,70
Monday,08-08-2022,00:00:00,21,39,17,,1,55,7,69
Monday,08-08-2022,01:00:00,16,32,13,,2,43,7,66
Monday,08-08-2022,02:00:00,20,27,10,,3,42,7,64
Monday,08-08-2022,03:00:00,22,26,8,,3,44,10,61
Monday,08-08-2022,04:00:00,11,27,9,,2,46,8,57
Monday,08-08-2022,05:00:00,12,28,10,,2,48,7,53
Monday,08-08-2022,06:00:00,21,30,13,,1,54,7,51
Monday,08-08-2022,07:00:00,18,34,17,,3,49,4,49
Monday,08-08-2022,08:00:00,28,41,20,,2,62,7,49
Monday,08-08-2022,09:00:00,34,54,26,,2,62,8,50
Monday,08-08-2022,10:00:00,35,71,27,,3,69,8,53
Monday,08-08-2022,11:00:00,31,80,26,,3,69,9,56
Monday,08-08-2022,12:00:00,35,66,29,,7,76,19,59
Monday,08-08-2022,13:00:00,25,102,27,,5,82,6,63
Monday,08-08-2022,14:00:00,27,131,27,,3,84,7,67
Monday,08-08-2022,15:00:00,22,117,27,,3,82,7,71
Monday,08-08-2022,16:00:00,23,111,27,,3,77,2,74
Monday,08-08-2022,17:00:00,30,157,30,,2,75,15,75
Monday,08-08-2022,18:00:00,28,133,34,,2,90,3,78
Monday,08-08-2022,19:00:00,39,126,35,,2,100,7,82
Monday,08-08-2022,20:00:00,39,126,46,,2,116,22,87
Monday,08-08-2022,21:00:00,70,170,52,,4,109,13,91
Monday,08-08-2022,22:00:00,78,183,45,,5,100,7,93
Monday,08-08-2022,23:00:00,58,127,35,,3,54,7,89
Tuesday,09-08-2022,00:00:00,39,92,25,,3,29,6,87
Tuesday,09-08-2022,01:00:00,22,60,23,,6,64,5,88
Tuesday,09-08-2022,02:00:00,16,64,15,,6,54,8,90
Tuesday,09-08-2022,03:00:00,13,59,13,,6,55,7,91
Tuesday,09-08-2022,04:00:00,28,68,13,,8,57,9,93
Tuesday,09-08-2022,05:00:00,27,69,19,,5,44,8,95
Tuesday,09-08-2022,06:00:00,26,64,24,,5,50,7,96
Tuesday,09-08-2022,07:00:00,18,69,21,,5,54,7,98
Tuesday,09-08-2022,08:00:00,15,81,23,,5,24,6,99
Tuesday,09-08-2022,09:00:00,20,86,21,,6,88,,100
Tuesday,09-08-2022,10:00:00,24,86,19,,5,82,6,101
Tuesday,09-08-2022,11:00:00,22,78,22,,6,76,8,101
Tuesday,09-08-2022,12:00:00,27,111,21,,8,74,9,103
Tuesday,09-08-2022,13:00:00,35,112,25,,4,120,9,103
Tuesday,09-08-2022,14:00:00,28,101,24,,2,118,8,102
Tuesday,09-08-2022,15:00:00,17,92,21,,2,119,6,101
Tuesday,09-08-2022,16:00:00,15,83,24,,3,119,8,100
Tuesday,09-08-2022,17:00:00,32,86,30,,2,62,8,97
Tuesday,09-08-2022,18:00:00,26,86,32,,2,77,3,95
Tuesday,09-08-2022,19:00:00,32,90,33,,2,92,5,95
Tuesday,09-08-2022,20:00:00,35,89,33,,2,100,6,98
Tuesday,09-08-2022,21:00:00,26,85,33,,3,99,11,101
Tuesday,09-08-2022,22:00:00,26,82,31,,3,87,8,97
Tuesday,09-08-2022,23:00:00,25,71,26,,4,83,7,93
Wednesday,10-08-2022,00:00:00,26,63,19,,4,63,7,87
Wednesday,10-08-2022,01:00:00,23,50,14,,1,34,8,80
Wednesday,10-08-2022,02:00:00,12,40,12,,,32,,79
Wednesday,10-08-2022,03:00:00,10,36,13,,,35,2,78
Wednesday,10-08-2022,04:00:00,,,,,,,,79
Wednesday,10-08-2022,05:00:00,17,33,15,,2,40,4,77
Wednesday,10-08-2022,06:00:00,13,39,18,,4,54,14,76
Wednesday,10-08-2022,07:00:00,23,62,20,,3,58,8,76
Wednesday,10-08-2022,08:00:00,29,84,21,,3,70,8,76
Wednesday,10-08-2022,09:00:00,32,86,22,,4,70,7,76
Wednesday,10-08-2022,10:00:00,19,86,21,,4,68,5,76
Wednesday,10-08-2022,11:00:00,13,93,26,,5,52,2,77
Wednesday,10-08-2022,12:00:00,30,138,26,,8,64,5,78
Wednesday,10-08-2022,13:00:00,33,137,29,,3,57,6,79
Wednesday,10-08-2022,14:00:00,33,134,30,,3,62,11,80
Wednesday,10-08-2022,15:00:00,21,107,30,,2,82,7,81
Wednesday,10-08-2022,16:00:00,26,95,30,,1,79,8,81
Wednesday,10-08-2022,17:00:00,32,94,31,,1,70,7,82
Wednesday,10-08-2022,18:00:00,30,98,30,,2,72,8,82
Wednesday,10-08-2022,19:00:00,33,101,36,,4,69,3,83
Wednesday,10-08-2022,20:00:00,37,98,46,,3,87,13,83
Wednesday,10-08-2022,21:00:00,37,99,25,,4,78,4,84
Wednesday,10-08-2022,22:00:00,14,49,14,,4,65,8,82
Wednesday,10-08-2022,23:00:00,19,51,15,,5,73,8,81
Thursday,11-08-2022,00:00:00,27,59,11,,5,66,9,81
Thursday,11-08-2022,01:00:00,23,58,21,,4,12,9,82
Thursday,11-08-2022,02:00:00,23,50,18,,4,10,16,82
Thursday,11-08-2022,03:00:00,17,49,16,,4,,3,83
Thursday,11-08-2022,04:00:00,12,40,15,,3,,,81
Thursday,11-08-2022,05:00:00,20,40,23,,4,40,5,81
Thursday,11-08-2022,06:00:00,22,46,21,,4,51,5,81
Thursday,11-08-2022,07:00:00,15,43,28,,4,60,6,81
Thursday,11-08-2022,08:00:00,35,65,24,,5,63,15,80
Thursday,11-08-2022,09:00:00,28,82,22,,2,47,6,80
Thursday,11-08-2022,10:00:00,26,81,22,,,53,6,79
Thursday,11-08-2022,11:00:00,24,86,25,,,28,7,79
Thursday,11-08-2022,12:00:00,20,80,24,,,26,5,77
Thursday,11-08-2022,13:00:00,22,81,26,,1,17,4,74
Thursday,11-08-2022,14:00:00,27,71,28,,2,24,6,72
Thursday,11-08-2022,15:00:00,37,76,25,,2,24,7,70
Thursday,11-08-2022,16:00:00,29,64,29,,1,67,10,69
Thursday,11-08-2022,17:00:00,28,69,30,,2,75,7,68
Thursday,11-08-2022,18:00:00,18,74,38,,3,88,7,67
Thursday,11-08-2022,19:00:00,27,85,24,,1,66,4,66
Thursday,11-08-2022,20:00:00,63,84,21,,3,55,5,66
Thursday,11-08-2022,21:00:00,34,62,30,,4,62,5,64
Thursday,11-08-2022,22:00:00,27,71,19,,5,44,7,65
Thursday,11-08-2022,23:00:00,22,58,12,,3,41,7,66
Friday,12-08-2022,00:00:00,12,53,10,,4,38,8,65
Friday,12-08-2022,01:00:00,19,46,13,,4,29,9,65
Friday,12-08-2022,02:00:00,14,35,15,,4,26,8,64
Friday,12-08-2022,03:00:00,15,42,19,,4,30,9,64
Friday,12-08-2022,04:00:00,25,50,17,,4,28,7,64
Friday,12-08-2022,05:00:00,25,54,15,,2,16,7,65
Friday,12-08-2022,06:00:00,23,46,16,,1,17,6,65
Friday,12-08-2022,07:00:00,13,49,19,,1,29,7,65
Friday,12-08-2022,08:00:00,28,66,21,,1,33,7,65
Friday,12-08-2022,09:00:00,32,71,22,,2,67,19,65
Friday,12-08-2022,10:00:00,28,74,23,,2,78,14,64
Friday,12-08-2022,11:00:00,22,69,25,,4,75,7,64
Friday,12-08-2022,12:00:00,16,66,23,,5,77,7,63
Friday,12-08-2022,13:00:00,18,77,25,,5,62,7,63
Friday,12-08-2022,14:00:00,27,100,28,,4,62,4,64
Friday,12-08-2022,15:00:00,39,108,34,,4,68,4,66
Friday,12-08-2022,16:00:00,56,103,37,,4,68,9,67
Friday,12-08-2022,17:00:00,38,101,33,,2,78,10,71
Friday,12-08-2022,18:00:00,40,109,51,,2,99,11,74
Friday,12-08-2022,19:00:00,48,118,53,,1,104,8,77
Friday,12-08-2022,20:00:00,49,110,36,,3,82,5,78
Friday,12-08-2022,21:00:00,48,85,25,,5,70,6,77
Friday,12-08-2022,22:00:00,58,68,20,,4,67,3,78
Friday,12-08-2022,23:00:00,71,72,17,,4,66,7,78
Saturday,13-08-2022,00:00:00,48,64,18,,4,59,8,77
Saturday,13-08-2022,01:00:00,27,54,15,,2,54,8,75
Saturday,13-08-2022,02:00:00,15,41,17,,1,53,9,75
Saturday,13-08-2022,03:00:00,21,48,14,,1,49,9,75
Saturday,13-08-2022,04:00:00,19,50,12,,,46,7,75
Saturday,13-08-2022,05:00:00,16,49,11,,3,47,7,75
Saturday,13-08-2022,06:00:00,20,44,15,,4,52,6,75
Saturday,13-08-2022,07:00:00,20,48,15,,4,58,,75
Saturday,13-08-2022,08:00:00,22,62,18,,4,62,6,75
Saturday,13-08-2022,09:00:00,27,80,21,,2,61,7,75
Saturday,13-08-2022,10:00:00,30,92,24,,0,63,9,76
Saturday,13-08-2022,11:00:00,32,95,26,,0,69,16,77
Saturday,13-08-2022,12:00:00,28,102,32,,6,68,6,78
Saturday,13-08-2022,13:00:00,29,104,31,,3,69,7,79
Saturday,13-08-2022,14:00:00,28,93,30,,2,68,7,79
Saturday,13-08-2022,15:00:00,39,75,31,,2,71,4,78
Saturday,13-08-2022,16:00:00,26,78,34,,3,70,4,77
Saturday,13-08-2022,17:00:00,44,74,28,,5,59,6,76
Saturday,13-08-2022,18:00:00,18,38,21,,7,52,8,73
Saturday,13-08-2022,19:00:00,8,33,27,,5,51,9,69
Saturday,13-08-2022,20:00:00,9,24,37,,5,54,9,66
Saturday,13-08-2022,21:00:00,25,28,36,,10,56,8,63
Saturday,13-08-2022,22:00:00,40,42,28,,10,76,8,62
Saturday,13-08-2022,23:00:00,67,74,28,,10,67,10,62
Sunday,14-08-2022,00:00:00,24,46,20,,13,59,5,61
Sunday,14-08-2022,01:00:00,18,44,37,,8,66,8,61
Sunday,14-08-2022,02:00:00,26,62,48,,5,74,7,62
Sunday,14-08-2022,03:00:00,32,58,32,,2,65,7,63
Sunday,14-08-2022,04:00:00,25,48,18,,1,54,7,63
Sunday,14-08-2022,05:00:00,8,38,12,,1,,7,63
Sunday,14-08-2022,06:00:00,10,38,12,,2,55,7,63
Sunday,14-08-2022,07:00:00,15,35,15,,1,59,7,61
Sunday,14-08-2022,08:00:00,20,47,16,,2,54,5,61
Sunday,14-08-2022,09:00:00,20,62,16,,2,63,5,61
Sunday,14-08-2022,10:00:00,12,61,21,,2,65,7,61
Sunday,14-08-2022,11:00:00,15,60,20,,3,63,7,60
Sunday,14-08-2022,12:00:00,19,51,21,,6,66,13,60
Sunday,14-08-2022,13:00:00,15,46,22,,7,68,10,62
Sunday,14-08-2022,14:00:00,9,40,22,,8,66,7,63
Sunday,14-08-2022,15:00:00,9,36,25,,5,71,7,65
Sunday,14-08-2022,16:00:00,19,39,23,,5,68,7,66
Sunday,14-08-2022,17:00:00,18,40,23,,6,64,8,66
Sunday,14-08-2022,18:00:00,28,36,29,,11,54,9,65
Sunday,14-08-2022,19:00:00,28,36,28,,12,54,7,64
Sunday,14-08-2022,20:00:00,10,33,22,,11,55,8,63
Sunday,14-08-2022,21:00:00,10,34,17,,9,56,9,62
Sunday,14-08-2022,22:00:00,12,35,16,,8,87,8,61
Sunday,14-08-2022,23:00:00,18,34,11,,8,57,8,60
Monday,15-08-2022,00:00:00,16,38,9,,6,54,8,58
Monday,15-08-2022,01:00:00,24,44,5,,3,49,8,56
Monday,15-08-2022,02:00:00,41,63,5,,4,47,7,54
Monday,15-08-2022,03:00:00,60,76,5,,3,48,8,53
Monday,15-08-2022,04:00:00,72,64,4,,2,48,5,52
Monday,15-08-2022,05:00:00,41,46,5,,2,49,9,52
Monday,15-08-2022,06:00:00,29,40,7,,2,53,8,51
Monday,15-08-2022,07:00:00,36,46,22,,2,65,8,52
Monday,15-08-2022,08:00:00,49,72,27,,2,73,9,54
Monday,15-08-2022,09:00:00,45,82,22,,3,85,11,57
Monday,15-08-2022,10:00:00,43,82,20,,2,98,5,63
Monday,15-08-2022,11:00:00,35,84,22,,2,102,7,69
Monday,15-08-2022,12:00:00,42,83,23,,5,102,8,75
Monday,15-08-2022,13:00:00,33,81,25,,4,68,8,77
Monday,15-08-2022,14:00:00,24,85,31,,5,59,20,78
Monday,15-08-2022,15:00:00,22,88,42,,5,30,6,76
Monday,15-08-2022,16:00:00,40,60,48,,5,28,8,72
Monday,15-08-2022,17:00:00,38,51,21,,6,56,8,70
Monday,15-08-2022,18:00:00,39,45,64,,5,60,8,67
Monday,15-08-2022,19:00:00,36,54,60,,7,77,6,65
Monday,15-08-2022,20:00:00,26,55,39,,6,83,8,63
Monday,15-08-2022,21:00:00,52,52,52,,5,58,8,61
Monday,15-08-2022,22:00:00,58,60,12,,4,56,9,62
Monday,15-08-2022,23:00:00,32,42,10,,3,34,10,62
Tuesday,16-08-2022,00:00:00,12,38,8,,3,30,8,62
Tuesday,16-08-2022,01:00:00,19,36,8,,6,53,8,62
Tuesday,16-08-2022,02:00:00,20,37,12,,7,53,8,61
Tuesday,16-08-2022,03:00:00,17,46,11,,7,67,5,60
Tuesday,16-08-2022,04:00:00,21,38,7,,7,68,6,58
Tuesday,16-08-2022,05:00:00,28,34,7,,5,45,8,58
Tuesday,16-08-2022,06:00:00,25,38,9,,4,39,8,58
Tuesday,16-08-2022,07:00:00,24,39,15,,5,43,9,58
Tuesday,16-08-2022,08:00:00,19,40,19,,4,43,8,56
Tuesday,16-08-2022,09:00:00,18,46,18,,2,63,8,55
Tuesday,16-08-2022,10:00:00,19,57,17,,4,61,7,54
Tuesday,16-08-2022,11:00:00,20,56,11,,3,42,6,52
Tuesday,16-08-2022,12:00:00,26,52,9,,5,37,7,51
